Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,,
CIFAR10,VGG,GPU,Winograd,5000,0.2109375,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,5100,0.2265625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,5200,0.2109375,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,5300,0.1171875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,5400,0.2734375,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,5500,0.203125,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,5600,0.1875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,5700,0.1796875,1.56443E+12,11752,,,,
CIFAR10,VGG,GPU,Winograd,5800,0.2109375,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,5900,0.21875,1.56443E+12,22262,,,,
CIFAR10,VGG,GPU,Winograd,6000,0.21875,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,6100,0.2109375,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,6200,0.2109375,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,6300,0.1484375,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,6400,0.2109375,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,6500,0.203125,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,6600,0.1640625,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,6700,0.1953125,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,6800,0.2421875,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,6900,0.203125,1.56443E+12,22261,,,,
CIFAR10,VGG,GPU,Winograd,7000,0.2578125,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,7100,0.2578125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,7200,0.28125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,7300,0.2265625,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,7400,0.265625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,7500,0.3359375,1.56443E+12,11752,,,,
CIFAR10,VGG,GPU,Winograd,7600,0.2109375,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,7700,0.28125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,7800,0.2578125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,7900,0.265625,1.56443E+12,22265,,,,
CIFAR10,VGG,GPU,Winograd,8000,0.25,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,8100,0.234375,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,8200,0.2265625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,8300,0.1953125,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,8400,0.1953125,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,8500,0.2421875,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,8600,0.2265625,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,8700,0.203125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,8800,0.2578125,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,8900,0.2890625,1.56443E+12,22264,,,,
CIFAR10,VGG,GPU,Winograd,9000,0.265625,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,9100,0.2890625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,9200,0.3125,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,9300,0.265625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,9400,0.34375,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,9500,0.3203125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,9600,0.3515625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,9700,0.3203125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,9800,0.28125,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,9900,0.296875,1.56443E+12,31023,,,,
CIFAR10,VGG,GPU,Winograd,10000,0.28125,1.56443E+12,11736,,,,
CIFAR10,VGG,GPU,Winograd,10100,0.28125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,10200,0.265625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,10300,0.2578125,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,10400,0.3125,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,10500,0.3125,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,10600,0.265625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,10700,0.265625,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,10800,0.296875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,10900,0.390625,1.56443E+12,22275,,,,
CIFAR10,VGG,GPU,Winograd,11000,0.296875,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,11100,0.3359375,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,11200,0.2109375,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,11300,0.28125,1.56443E+12,11751,,,,
CIFAR10,VGG,GPU,Winograd,11400,0.3984375,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,11500,0.2890625,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,11600,0.2890625,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,11700,0.3046875,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,11800,0.2890625,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,11900,0.3046875,1.56443E+12,22267,,,,
CIFAR10,VGG,GPU,Winograd,12000,0.2734375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,12100,0.3359375,1.56443E+12,11763,,,,
CIFAR10,VGG,GPU,Winograd,12200,0.2734375,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,12300,0.453125,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,12400,0.3671875,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,12500,0.3359375,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,12600,0.4140625,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,12700,0.265625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,12800,0.359375,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,12900,0.3359375,1.56443E+12,22269,,,,
CIFAR10,VGG,GPU,Winograd,13000,0.34375,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,13100,0.3359375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,13200,0.328125,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,13300,0.359375,1.56443E+12,11730,,,,
CIFAR10,VGG,GPU,Winograd,13400,0.375,1.56443E+12,11729,,,,
CIFAR10,VGG,GPU,Winograd,13500,0.296875,1.56443E+12,11728,,,,
CIFAR10,VGG,GPU,Winograd,13600,0.375,1.56443E+12,11728,,,,
CIFAR10,VGG,GPU,Winograd,13700,0.390625,1.56443E+12,11732,,,,
CIFAR10,VGG,GPU,Winograd,13800,0.28125,1.56443E+12,11728,,,,
CIFAR10,VGG,GPU,Winograd,13900,0.34375,1.56443E+12,22256,,,,
CIFAR10,VGG,GPU,Winograd,14000,0.3828125,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,14100,0.328125,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,14200,0.3046875,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,14300,0.390625,1.56443E+12,11763,,,,
CIFAR10,VGG,GPU,Winograd,14400,0.3125,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,14500,0.390625,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,14600,0.3515625,1.56443E+12,11763,,,,
CIFAR10,VGG,GPU,Winograd,14700,0.40625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,14800,0.3984375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,14900,0.453125,1.56443E+12,22285,,,,
CIFAR10,VGG,GPU,Winograd,15000,0.4140625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,15100,0.3515625,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,15200,0.40625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,15300,0.390625,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,15400,0.40625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,15500,0.375,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,15600,0.3125,1.56443E+12,11763,,,,
CIFAR10,VGG,GPU,Winograd,15700,0.4375,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,15800,0.3359375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,15900,0.3671875,1.56443E+12,22298,,,,
CIFAR10,VGG,GPU,Winograd,16000,0.375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,16100,0.390625,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,16200,0.4609375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,16300,0.4140625,1.56443E+12,11765,,,,
CIFAR10,VGG,GPU,Winograd,16400,0.40625,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,16500,0.421875,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,16600,0.34375,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,16700,0.484375,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,16800,0.421875,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,16900,0.3359375,1.56443E+12,22280,,,,
CIFAR10,VGG,GPU,Winograd,17000,0.3359375,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,17100,0.4453125,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,17200,0.4609375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,17300,0.40625,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,17400,0.34375,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,17500,0.4609375,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,17600,0.4296875,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,17700,0.3984375,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,17800,0.3515625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,17900,0.421875,1.56443E+12,22281,,,,
CIFAR10,VGG,GPU,Winograd,18000,0.4765625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,18100,0.4375,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,18200,0.4375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,18300,0.4140625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,18400,0.4765625,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,18500,0.46875,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,18600,0.421875,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,18700,0.4453125,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,18800,0.421875,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,18900,0.3984375,1.56443E+12,22304,,,,
CIFAR10,VGG,GPU,Winograd,19000,0.4140625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,19100,0.390625,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,19200,0.4765625,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,19300,0.421875,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,19400,0.4375,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,19500,0.5,1.56443E+12,11761,,,,
CIFAR10,VGG,GPU,Winograd,19600,0.4921875,1.56443E+12,11761,,,,
CIFAR10,VGG,GPU,Winograd,19700,0.4453125,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,19800,0.5,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,19900,0.546875,1.56443E+12,30813,,,,
CIFAR10,VGG,GPU,Winograd,20000,0.5078125,1.56443E+12,11740,,,,
CIFAR10,VGG,GPU,Winograd,20100,0.4609375,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,20200,0.46875,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,20300,0.5,1.56443E+12,11761,,,,
CIFAR10,VGG,GPU,Winograd,20400,0.53125,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,20500,0.4609375,1.56443E+12,11761,,,,
CIFAR10,VGG,GPU,Winograd,20600,0.4453125,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,20700,0.4609375,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,20800,0.453125,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,20900,0.4296875,1.56443E+12,22288,,,,
CIFAR10,VGG,GPU,Winograd,21000,0.390625,1.56443E+12,11787,,,,
CIFAR10,VGG,GPU,Winograd,21100,0.421875,1.56443E+12,11783,,,,
CIFAR10,VGG,GPU,Winograd,21200,0.4140625,1.56443E+12,11783,,,,
CIFAR10,VGG,GPU,Winograd,21300,0.484375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,21400,0.4609375,1.56443E+12,11762,,,,
CIFAR10,VGG,GPU,Winograd,21500,0.4765625,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,21600,0.4765625,1.56443E+12,11763,,,,
CIFAR10,VGG,GPU,Winograd,21700,0.5390625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,21800,0.4375,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,21900,0.5,1.56443E+12,22286,,,,
CIFAR10,VGG,GPU,Winograd,22000,0.53125,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,22100,0.5859375,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,22200,0.4921875,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,22300,0.453125,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,22400,0.5,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,22500,0.5625,1.56443E+12,11764,,,,
CIFAR10,VGG,GPU,Winograd,22600,0.53125,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,22700,0.4765625,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,22800,0.484375,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,22900,0.484375,1.56443E+12,22304,,,,
CIFAR10,VGG,GPU,Winograd,23000,0.5,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,23100,0.5,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,23200,0.453125,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,23300,0.46875,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,23400,0.515625,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,23500,0.5078125,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,23600,0.609375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,23700,0.53125,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,23800,0.4921875,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,23900,0.546875,1.56443E+12,22305,,,,
CIFAR10,VGG,GPU,Winograd,24000,0.5078125,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,24100,0.4921875,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,24200,0.6015625,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,24300,0.4765625,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,24400,0.5078125,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,24500,0.4609375,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,24600,0.53125,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,24700,0.5859375,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,24800,0.6015625,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,24900,0.5703125,1.56443E+12,22306,,,,
CIFAR10,VGG,GPU,Winograd,25000,0.5078125,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,25100,0.5390625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,25200,0.515625,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,25300,0.578125,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,25400,0.484375,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,25500,0.546875,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,25600,0.515625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,25700,0.5546875,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,25800,0.609375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,25900,0.5078125,1.56443E+12,22298,,,,
CIFAR10,VGG,GPU,Winograd,26000,0.5390625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,26100,0.609375,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,26200,0.5703125,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,26300,0.5390625,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,26400,0.546875,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,26500,0.625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,26600,0.5703125,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,26700,0.515625,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,26800,0.6015625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,26900,0.5234375,1.56443E+12,22309,,,,
CIFAR10,VGG,GPU,Winograd,27000,0.578125,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,27100,0.609375,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,27200,0.59375,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,27300,0.59375,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,27400,0.59375,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,27500,0.5546875,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,27600,0.5859375,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,27700,0.6328125,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,27800,0.5078125,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,27900,0.5234375,1.56443E+12,22314,,,,
CIFAR10,VGG,GPU,Winograd,28000,0.5703125,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,28100,0.609375,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,28200,0.6015625,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,28300,0.6015625,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,28400,0.578125,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,28500,0.5703125,1.56443E+12,11770,,,,
CIFAR10,VGG,GPU,Winograd,28600,0.5625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,28700,0.609375,1.56443E+12,11774,,,,
CIFAR10,VGG,GPU,Winograd,28800,0.578125,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,28900,0.578125,1.56443E+12,22312,,,,
CIFAR10,VGG,GPU,Winograd,29000,0.59375,1.56443E+12,11775,,,,
CIFAR10,VGG,GPU,Winograd,29100,0.4765625,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,29200,0.625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,29300,0.6015625,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,29400,0.65625,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,29500,0.6640625,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,29600,0.671875,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,29700,0.65625,1.56443E+12,11777,,,,
CIFAR10,VGG,GPU,Winograd,29800,0.6484375,1.56443E+12,11766,,,,
CIFAR10,VGG,GPU,Winograd,29900,0.609375,1.56443E+12,30933,,,,
CIFAR10,VGG,GPU,Winograd,30000,0.6328125,1.56443E+12,11746,,,,
CIFAR10,VGG,GPU,Winograd,30100,0.625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,30200,0.6328125,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,30300,0.5390625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,30400,0.5625,1.56443E+12,11767,,,,
CIFAR10,VGG,GPU,Winograd,30500,0.625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,30600,0.625,1.56443E+12,11768,,,,
CIFAR10,VGG,GPU,Winograd,30700,0.53125,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,30800,0.671875,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,30900,0.625,1.56443E+12,22300,,,,
CIFAR10,VGG,GPU,Winograd,31000,0.6640625,1.56443E+12,11792,,,,
CIFAR10,VGG,GPU,Winograd,31100,0.6015625,1.56443E+12,11769,,,,
CIFAR10,VGG,GPU,Winograd,31200,0.6953125,1.56443E+12,11773,,,,
CIFAR10,VGG,GPU,Winograd,31300,0.59375,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,31400,0.640625,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,31500,0.609375,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,31600,0.640625,1.56443E+12,11772,,,,
CIFAR10,VGG,GPU,Winograd,31700,0.625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,31800,0.5390625,1.56443E+12,11771,,,,
CIFAR10,VGG,GPU,Winograd,31900,0.5703125,1.56443E+12,22289,,,,
