Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3300,0.91410017,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3400,0.916900277,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3500,0.917800128,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3600,0.917400122,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3700,0.917900324,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3800,0.920000076,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3900,0.919500172,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4000,0.921500146,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4100,0.921600103,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4200,0.921800077,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4300,0.922600091,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4400,0.925100148,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4500,0.924400151,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4600,0.925900221,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4700,0.926300049,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4800,0.926200271,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,4900,0.926800132,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5000,0.928400099,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5100,0.92710036,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5200,0.92930007,1.56E+12,695,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5300,0.929400265,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5400,0.929200113,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5500,0.930000007,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5600,0.931300104,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5700,0.930100262,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5800,0.93170023,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,5900,0.931200325,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6000,0.93170011,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6100,0.932199955,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6200,0.933000207,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6300,0.932299852,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6400,0.934100211,1.56E+12,703,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6500,0.933000326,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6600,0.93380028,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6700,0.934300065,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6800,0.934800088,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,6900,0.934399843,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7000,0.935700178,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7100,0.935100317,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7200,0.936200202,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7300,0.936000049,1.56E+12,703,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7400,0.936200082,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7500,0.936800063,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7600,0.937600195,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7700,0.936600327,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7800,0.937300026,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,7900,0.93750006,1.56E+12,704,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8000,0.93750006,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8100,0.938000023,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8200,0.939100206,1.56E+12,704,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8300,0.939500034,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8400,0.939100027,1.56E+12,703,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8500,0.938900173,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8600,0.939100027,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8700,0.939700246,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8800,0.940500259,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,8900,0.940600157,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9000,0.941100061,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9100,0.940400183,1.56E+12,703,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9200,0.940500021,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9300,0.940300226,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9400,0.941200256,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9500,0.94140017,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9600,0.941700161,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9700,0.941400051,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9800,0.941500008,1.56E+12,701,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,9900,0.941300273,1.56E+12,825,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,10000,0.941900253,1.56E+12,,,,,,,,,,,
